skillid,skillname,category,reviewer,star,title,date,content
B07MW8F9F6,Hearful,Business & Finance,Elizabeth Andrew,5.0 out of 5 stars,Powerful Product Insight Tool,"Reviewed in the United States on February 13, 2019",This skill is such an incredible way for me to access customer feedback for my brand's products. Being able to navigate the data with voice is game-changing!
B07MK92ZJY,Settle Up,Business & Finance,David Vavra,5.0 out of 5 stars,The voice is back!,"Reviewed in the United States on December 27, 2018",Easy to check who should pay on your Echo.
B07MSFS1CT,Coupa,Business & Finance,AB Global Alliances,5.0 out of 5 stars,Great skill to manage my stocking room,"Reviewed in the United States on January 17, 2019",Coupa has a super user-friendly experience for requisitioners
B07MVWYJ2M,Vic Ferrer - San Antonio Real Estate,Business & Finance,Victor & Debbie Ferrer,5.0 out of 5 stars,"New Garden Homes in Pallatium Villas, 78232","Reviewed in the United States on January 17, 2019","I purchased a home here,  Gated Community, Pool and Club house , Unique only 76 Homes to be built, and I am selling homes that are being built."
B07MBMDCQ3,Greater Austin Area Real Estate News,Business & Finance,dianne malan,5.0 out of 5 stars,What you need to know.,"Reviewed in the United States on December 16, 2019",Stephanie is always updated on all the information you need.
B07MBMDCQ3,Greater Austin Area Real Estate News,Business & Finance,Dyna Donnell,5.0 out of 5 stars,SUPER knowledgeable and helpful!,"Reviewed in the United States on January 5, 2019",Stephanie always has great tips and the latest industry news I’m looking for!
B07MBMDCQ3,Greater Austin Area Real Estate News,Business & Finance,Cindy Bosley,5.0 out of 5 stars,Knowledgeable and helpful!,"Reviewed in the United States on December 11, 2019",Stephanie is very knowledgeable and always willing to help!
B07MBMDCQ3,Greater Austin Area Real Estate News,Business & Finance,Heather J Roberts,5.0 out of 5 stars,Very helpful,"Reviewed in the United States on December 10, 2019",Great information!
B07MB1TM7W,UnCloned Marketing with Audria Richmond,Business & Finance,Aremanda Hudson,5.0 out of 5 stars,Every Business owner needs this...,"Reviewed in the United States on December 30, 2018",This flash briefing was very informative. I know its going to help me in my business so much! Thank you so much. 😎
B07NL223P4,Mikey Rater,Business & Finance,Alexander Maravegias,5.0 out of 5 stars,Awesome skill!,"Reviewed in the United States on March 11, 2019",This skill is so cool! I love rating business’s and this makes it too easy!!
B07MZWHCZY,Next Support,Business & Finance,Amazon Customer,5.0 out of 5 stars,Very helpful,"Reviewed in the United States on January 24, 2019",This support will help us to save time to reach the support engineer and sort out the issue.
B07LC7PVF9,Ask Dr Miller,Business & Finance,dinahsgoatmilksoaps,4.0 out of 5 stars,Worth checking out,"Reviewed in the United States on June 1, 2020",A new listener to Dr Miller's program. A thumbs up thus far!
B07MJPZF8M,Donnie Keller - Fort Worth Real Estate,Business & Finance,Robert B.,5.0 out of 5 stars,He will do the heavy lifting,"Reviewed in the United States on July 17, 2019","I was referred to Donnie by a friend John Unsworth. He had a rental property that was giving him issues and told me Donnie got him top dollar and did it fast. I was having person issues in a relationship I was in and figured it would be easier to sell the house than go through a eviction process. My property had a nice home on a terrible lot. Donnie met with me went over a detailed plan to get top dollar for my house quickly. He told me what I needed to do to get my house ready for sale and how he was going to market it. I had my end of the bargain done in a week. He listed my home and had a open house that first weekend and had “glamor shots” of my house done. I cannot over emphasis how bad my lot was. Zero lot lines and a two level backyard. This was a challenge. Donnie had my house sold within 3 weeks and got why I felt was top of the mark considering the poor lot. I highly recommend him. He is not a realtor to list your house on MLS and wait for a offer he is proactive, professional and has a plan. Highly recommend.Rob Bailes"
B07MJPZF8M,Donnie Keller - Fort Worth Real Estate,Business & Finance,Vivian Landau,5.0 out of 5 stars,Knowledge and experience,"Reviewed in the United States on June 29, 2019","Donnie, is great! He helped us find a place to call home. He has great communication via email, text, and phone. And works in the early hours and on family vacations. Thank you Donnie, for a Rocky Mountain time and a perfect way to start summer in our new home.The Landau’s"
B07MJPZF8M,Donnie Keller - Fort Worth Real Estate,Business & Finance,Priscilla Walker,5.0 out of 5 stars,Very knowledgeable & Capable Realtor,"Reviewed in the United States on July 19, 2019","Donnie was extremely helpful and patient.  We were under a great deal of stress with time constraints, sale issues with our business in another county & health concerns with my husband.  After everything was said and done, we found ourselves in a very comfortable new home back in our hometown.  He knew what we needed & set out to make it happen."
B07MJPZF8M,Donnie Keller - Fort Worth Real Estate,Business & Finance,chris castillo,5.0 out of 5 stars,Everything you need.,"Reviewed in the United States on July 12, 2019",Donnie helped us  sale and buy a house. Donnie is great at listening to what you want and will go the extra mile for you. He treats you like family. He will go above an beyond for you. He is very professional and we will use him again if we decide to ever sale or buy again.
B07MJPZF8M,Donnie Keller - Fort Worth Real Estate,Business & Finance,justin nelson,5.0 out of 5 stars,He delivers,"Reviewed in the United States on July 17, 2019",Donnie helped us sell and buy a house.  This was done when we were fighting a significant illness and could not have been done without him.  Besides being skilled in the real estate business he is a great person to deal with.  We have the highest respect for him.  The Nelsons
B07MJPZF8M,Donnie Keller - Fort Worth Real Estate,Business & Finance,Ryan Roberson,5.0 out of 5 stars,The Best Realtor You Can Find,"Reviewed in the United States on April 8, 2019","I've been working with Donnie for over a year now. He is very professional, skilled at what he does, and has quick turn around times. If you need a Realtor, Donnie will do a great job for you."
B07MJPZF8M,Donnie Keller - Fort Worth Real Estate,Business & Finance,Aminata Koroma,5.0 out of 5 stars,Patience,"Reviewed in the United States on April 4, 2019","He has lots of patience, and knowledgeable about everything. He gives the best advice on how and what to do when it comes to houses."
B07MJPZF8M,Donnie Keller - Fort Worth Real Estate,Business & Finance,John J.,5.0 out of 5 stars,Highly recommended,"Reviewed in the United States on April 3, 2019","Great experience, fast closing, and highly recommended!"
B07MJPZF8M,Donnie Keller - Fort Worth Real Estate,Business & Finance,Heather Beal,5.0 out of 5 stars,Knowledgeable & Helpful,"Reviewed in the United States on July 17, 2019",Donnie was wonderful to work with! He was knowledgeable about the real estate in our area and helped us find the perfect home.
B07MJPZF8M,Donnie Keller - Fort Worth Real Estate,Business & Finance,Jennifer Boone,5.0 out of 5 stars,Powerful Tool!!,"Reviewed in the United States on April 3, 2019",What a great way to stay in the know of the real estate market! Thank you Donnie!
B07MJPZF8M,Donnie Keller - Fort Worth Real Estate,Business & Finance,spencer mcdonald,5.0 out of 5 stars,Great Information,"Reviewed in the United States on April 3, 2019",Donnie provides great market information and wonderful personal service if you are looking to buy or sell your home.
B07M8651TJ,1st Source Bank,Business & Finance,Mrs AiseleT,5.0 out of 5 stars,I love the convenience!,"Reviewed in the United States on February 6, 2019",Easy to set up and I can ask Alexa for my balance or last transactions to see if something has cleared without picking up my phone! GREAT!
B07M8651TJ,1st Source Bank,Business & Finance,Amazon Customer,5.0 out of 5 stars,Shes by your side!,"Reviewed in the United States on January 16, 2019",Love having the ability to access my balance by a quick ask to Alexa!
