skillid,skillname,category,reviewer,star,title,date,content
B07MG98QLK,Vyncs,Connected Car,Denise M. Rorabaugh,1.0 out of 5 stars,"Skill is not good, need actual location on street.","Reviewed in the United States on December 14, 2019","Why does it give you longitude and  latitude coordinates , that is absolutely worthless. Tell me a street name with an Addres's number please. Whoever thought of that should be fired."
B07MG98QLK,Vyncs,Connected Car,Philip D Hill,1.0 out of 5 stars,Not worth your time,"Reviewed in the United States on May 9, 2019",Enabled and it can't connect. Crap!
B07MG98QLK,Vyncs,Connected Car,commissarygary,4.0 out of 5 stars,worth the money but could be better.,"Reviewed in the United States on March 24, 2020","Reception is spotty and not always working but when it IS working, it is great. I would have to say it works for me about 80% of the time."
B07MG98QLK,Vyncs,Connected Car,Donna Humphreys,1.0 out of 5 stars,I get a message Alexa is having a hard time.,"Reviewed in the United States on November 21, 2019",I love the Vyncs app! It truely helps me keep track of where my teenage children are. Ot's to bad my dot can't access the app.
B07MG98QLK,Vyncs,Connected Car,Tristan,1.0 out of 5 stars,Alexa issue,"Reviewed in the United States on February 14, 2021",Alexa does not recognize the location of the vehicle
B07MG98QLK,Vyncs,Connected Car,Richard F. Thayer,1.0 out of 5 stars,cannot access skill or location,"Reviewed in the United States on March 23, 2021",cannot access skill
B07MG98QLK,Vyncs,Connected Car,Alaya,5.0 out of 5 stars,Works great!,"Reviewed in the United States on May 18, 2019","Vyncs is honestly a lifesaver, I can make sure that my kids stay safe and now I can just ask Alexa where they are."
B074XGLD4V,INFINITI InTouch™ Services,Connected Car,David Martin,1.0 out of 5 stars,Too Frustrating to Actually Use,"Reviewed in the United States on June 17, 2019","The app continually unlinks from my account.  Once linked, the command to start the car is so convoluted.  My wife has a 2016 Buick Enclave with OnStar.  All she has to say is ""Alexa start my Buick"".  Alexa will ask for the PIN code and then send the command.  It works every time.  I can NEVER simply say ""Alexa start my Inifiniti"".  Why not?  Well I know why not....this skill is badly written and needs to be redone from the ground up."
B074XGLD4V,INFINITI InTouch™ Services,Connected Car,Asdf Asdf Asdf,1.0 out of 5 stars,You have to say your pin out loud... security failure,"Reviewed in the United States on March 31, 2018","- The phrasing is ridiculously long and tedious.- It asks for your pin, out loud... awful. The only option here is to make it a trivial pin like 1111. But now you've compromised security twice b/c app makers can't think through the consequences of requiring an audible pin.I would rather it just do as i say:1. To access alexa on phone, you must unlock the phone already.2. To access alexa at home, must already be in my house.3. Even w/it remote started, car cannot be driven w/o keys and pressing start. Even if somebody did remote start, it stays locked and automatically shuts down if nobody starts with key."
B074XGLD4V,INFINITI InTouch™ Services,Connected Car,BerryChow,4.0 out of 5 stars,Very specific wording,"Reviewed in the United States on October 21, 2017",If you don't say the exact phrase Alexa doesn't understand which is frustrating. But if you manage to get it right it is awesome. Does everything the app does.
B074XGLD4V,INFINITI InTouch™ Services,Connected Car,NF,1.0 out of 5 stars,"POORLY DESIGNED , NOT WORTH THE SUBSCRIPTION COST","Reviewed in the United States on April 8, 2020","The website is poorly designed , it is structured to create a chaoseverything is mixed the Infiniti marketing and the InTouch functionsYou can't even manage your account to pay even though there is buttonindicates manage account but it takes you in a circle , who ever designedthis site had an IQ under 40 , the site structures so stupidly and it's functionsand features are not worth the money they ask for , I think who ever is in chargeof the Infiniti InTouch site and programs is very ignorant and dumb not to see allthe problems with it. DO not subscribe, you will be disappointed ."
B074XGLD4V,INFINITI InTouch™ Services,Connected Car,Tara Underwood,5.0 out of 5 stars,My 2017 QX60 is ready to go,"Reviewed in the United States on October 10, 2017",Works well with my new 2017 QX60. I can do the remote things I can do with Infiniti InTouch app with my voice. This will become more important to me this winter so I can start my car in the morning.
B074XGLD4V,INFINITI InTouch™ Services,Connected Car,Chuck Baker,1.0 out of 5 stars,Doesn't work,"Reviewed in the United States on January 1, 2018","Straight up doesn't work. Infiniti disabled my account, seemingly at random, after using this app. They don't know how to deactivate it. Complete scam and waste of time."
B074XGLD4V,INFINITI InTouch™ Services,Connected Car,Tim Oien,1.0 out of 5 stars,Too long,"Reviewed in the United States on November 18, 2018",Name of car is not Q50 anymore it's a longer name. And the command to activate is WAY too long.
B074XGLD4V,INFINITI InTouch™ Services,Connected Car,NLC1978,1.0 out of 5 stars,Constantly required re-linking with alexa app.,"Reviewed in the United States on June 28, 2018",Required re-linking with alexa app almost daily.  Command phrases are way too long. Nice option but re-linking daily sucks. Need a fix.
