skillid,skillname,category,reviewer,star,title,date,content
B07MZV85MW,UCSC Dining Halls,Local,Xander L.,5.0 out of 5 stars,so far so good!,"Reviewed in the United States on January 23, 2019",works great so far! now let's see if the dining halls actually put out what's on their menus... 🤔
B07M9QNNF1,NYC Public School Lunch Lady,Local,Valentina,1.0 out of 5 stars,does not work,"Reviewed in the United States on August 23, 2019","never worked- keeps asking for ""my organization"""
B07NDRZ8MJ,Hokie Dining,Local,Renee,5.0 out of 5 stars,10/10,"Reviewed in the United States on February 7, 2019",best skill ever
B07MDVZ3Y6,Restaurant Recommender,Local,Don Stewart,1.0 out of 5 stars,Restaurant Recommender did not work,"Reviewed in the United States on July 8, 2021","I gave Restaurant Recommender my location, and it cut out. I tried several times, and it never did get past the question of what location. Every time it cut out, and stated that it was having problems with the Restaurant Recommender skill.  .  I disabled the skill, and gave up.  Los Angeles is a big area, so it should not have had any problems with the location."
B07MDVZ3Y6,Restaurant Recommender,Local,Mike,5.0 out of 5 stars,Got relevant suggestions when I was looking up places to eat with my friends,"Reviewed in the United States on January 3, 2019","Wanted to eat pho in my city, recommended a pretty good place"
B07DBN4ND3,Ethnic Dinner Recommendations,Local,R. S.,5.0 out of 5 stars,Great!,"Reviewed in the United States on May 28, 2018",Good recommendations
B073NY2MY4,Austin BBQ,Local,Another Guy,5.0 out of 5 stars,Works fine,"Reviewed in the United States on August 14, 2017",Not much to it but it works fine.
B073NY2MY4,Austin BBQ,Local,BattleShipChris,1.0 out of 5 stars,Alexa won’t recognize Austin BBQ,"Reviewed in the United States on December 30, 2017",Tried all suggested commands and none of them worked
B073NY2MY4,Austin BBQ,Local,T,2.0 out of 5 stars,Two Stars,"Reviewed in the United States on February 11, 2018",Alexa doesnt seem to understand the phrase Austin BBQ
B073NY2MY4,Austin BBQ,Local,Justin Woodworth,1.0 out of 5 stars,Does not work,"Reviewed in the United States on July 12, 2017",As stated above wish it did
B0742NP936,Should I Eat?,Local,B. Polen,2.0 out of 5 stars,Very basic choices,"Reviewed in the United States on July 22, 2017","Gave it a shot. One example of its capabilities, ""would you like western dishes?"" ""Yes"" ""Would you like American dishes?"" ""Yes"" ""American dishes, like, Hamburger, French fries, sandwich, and steak"" it then started over from the beginning. Skill would be better if it allowed you to select dishes, then pulled up recipes on the Alexa app."
B091QFJ824,Virtual Waiter,Local,Jhonathan,1.0 out of 5 stars,does not work,"Reviewed in the United States on July 3, 2021",it gives you a list of restaurants in your area but none of them are available to order from. App needs some work..
B072PZ21LW,I'm Hungry!,Local,Kevin Mikolajczak,5.0 out of 5 stars,Helps me get what I want,"Reviewed in the United States on August 6, 2017",I can never decide what to eat
B07G2FSGBK,Ziggi's Coffee,Local,Karin,1.0 out of 5 stars,Ordering thru the app,"Reviewed in the United States on December 13, 2020",It doesn't give me the option of ordering through the app with my phone. it keeps asking me to select my Alexa. I want to be able to view the menu. I am not at home so I am not able to use the echo.
B07F83K7WT,Random Fast Food,Local,B. Martin,4.0 out of 5 stars,Need The Following Restaurants,"Reviewed in the United States on February 21, 2019",In ‘N OutSteak ‘N ShakeA & W RestaurantsPopeye’s Louisiana Kitchen
B07F83K7WT,Random Fast Food,Local,Camille Rainey,3.0 out of 5 stars,where’s chick-fil-a?,"Reviewed in the United States on April 25, 2020","please add  chick-fil-a, little Cesar’s pizza,  and Zaxby’s"
B07DL3BF6C,Which Cuisine,Local,dshelby,4.0 out of 5 stars,Four Stars,"Reviewed in the United States on June 7, 2018",Fun way to come up with random cuisine ideas.
B01L2X2O4S,my Favorite Restaurants,Local,Amazon Customer,1.0 out of 5 stars,not good,"Reviewed in the United States on January 26, 2017",keeps repeating the same thing waste of time
B01L2X2O4S,my Favorite Restaurants,Local,Amazon Customer,2.0 out of 5 stars,Two Stars,"Reviewed in the United States on February 13, 2017",Not good in finding restaurants.
B08598914Z,USC Dining Halls,Local,Anonymous,5.0 out of 5 stars,Super useful,"Reviewed in the United States on February 28, 2020",does what it's supposed to
B08598914Z,USC Dining Halls,Local,Amazon Customer,5.0 out of 5 stars,It told me mccarthy had hotdogs,"Reviewed in the United States on February 28, 2020",ofc it had hotdogs
B08MZTFZRG,Holy Chow Bot,Local,Jackie S.,5.0 out of 5 stars,cool,"Reviewed in the United States on November 10, 2020",Great for quick info!
B01N44EN0W,My Barista,Local,Stephen L. Watkins,5.0 out of 5 stars,Cool!,"Reviewed in the United States on January 5, 2017",Fun skill to find a new drink you like!
B01N44EN0W,My Barista,Local,Still Scooping,1.0 out of 5 stars,No details,"Reviewed in the United States on November 30, 2016",No details
B074K9MPNX,Restaurant Finder,Local,Myers ,2.0 out of 5 stars,It could be much better,"Reviewed in the United States on December 31, 2017","I have several restaurants near me. This thing only listed 3 on a Sunday morning. There are way more than 3 places serving breakfast on a Sunday morning around here. It did name one I never heard of, which is cool because now I know of someplace I didn’t, but overall this app sucks!!"
B074K9MPNX,Restaurant Finder,Local,Restaurateur,1.0 out of 5 stars,This skill doesn't work.,"Reviewed in the United States on November 18, 2021",It doesn't do anything. Maybe it used to work years ago but not anymore.
B074K9MPNX,Restaurant Finder,Local,Navigator,2.0 out of 5 stars,Gas Stations are NOT restaurants.,"Reviewed in the United States on October 21, 2019",This app needs some work. Raceway and Wawa gas stations were the only breakfast restaurants it found.
B074K9MPNX,Restaurant Finder,Local,Maggie Scott,2.0 out of 5 stars,Poor,"Reviewed in the United States on January 18, 2018",It just gives you a short random list of restaurant with no clue  of  what  they serve
