skillid,skillname,category,reviewer,star,title,date,content
B01E54UK88,Corgi Quiz,Movies & TV,Cookiekins,4.0 out of 5 stars,corgilicious,"Reviewed in the United States on March 26, 2018",Laughed so hard I couldn't hear the last question.
B01E54UK88,Corgi Quiz,Movies & TV,LichenFinder,3.0 out of 5 stars,Good start for a game for Corgi lovers,"Reviewed in the United States on July 18, 2016","Great for Corgi lovers, but needs more questions :-)"
B07ZRL5GWY,Sopranos quotes,Movies & TV,Versaceboy54,3.0 out of 5 stars,Great concept but...,"Reviewed in the United States on January 3, 2020",As a huge Sopranos fan i love the concept but im finding that the same quotes are being repeated way to quickly like every 5th or 6th ask.Suggestions : 1. This would be so much better if you actually used the real voices saying these quotes!!2. It would be nice if this can be played without the bleeps!
B07ZRL5GWY,Sopranos quotes,Movies & TV,Steve,4.0 out of 5 stars,If you love Wiseguy culture and have alexa? good app,"Reviewed in the United States on October 30, 2019",classic quotes from the show. Every so often they hit you with something deep.
B073PSVXFC,Sam's scroll,Movies & TV,"Mama to some, helper to more",1.0 out of 5 stars,BEWARE!!! TMI!,"Reviewed in the United States on July 10, 2017","ALARM! Be ye within earshot before having completed full GoT indoctrination, this skill shall serve as a raven of most unwelcome nature, and ruin forevermore the surprises that lie deep within the books and episodes that have not yet graced thine eyes! Alack alas, unhearing detailed facts is impossible. Verily I warn ye all - there be SPOILERS in this here skill!!!"
B077CPSHC9,Bollywood Gossip Girl,Movies & TV,Brenda Picraux,1.0 out of 5 stars,Gossip is just strait up rud ok fish u,"Reviewed in the United States on December 14, 2017",Hdhfhfjc
B07CS7K3YV,James Bond Trivia,Movies & TV,James Alexander,3.0 out of 5 stars,Wrong answers,"Reviewed in the United States on June 14, 2018",Answers that are correct are often scored as wrong.
B07CS7K3YV,James Bond Trivia,Movies & TV,Brian York,2.0 out of 5 stars,"Nice intro, terrible game.","Reviewed in the United States on December 28, 2018","I love how the James Bond theme plays at the beginning, but the correct answers aren't recognised by Alexa even when they are given correctly."
B07T8KFRRC,Naruto Fan Quiz,Movies & TV,mya,5.0 out of 5 stars,very hard unless you remember every episode,"Reviewed in the United States on September 1, 2021","i really like this quiz, it’s less easier and makes you try to pull together what episodes were which , i’ve been a hardcore fan since 05 and i had to remeber which chapter/episodes matched with each question . a must try if you want more rigourous questions."
B07T8KFRRC,Naruto Fan Quiz,Movies & TV,Amazon Customer,5.0 out of 5 stars,Naruto,"Reviewed in the United States on August 1, 2020",Naruto
B07KPGQBHP,Name The Movie Trivia,Movies & TV,C. Woolcott,5.0 out of 5 stars,Funny!,"Reviewed in the United States on November 19, 2018","Descriptions are really bad, but that's what makes it fun."
B07KPGQBHP,Name The Movie Trivia,Movies & TV,Amazon Customer,1.0 out of 5 stars,Sucks,"Reviewed in the United States on June 18, 2020",Same questions every time!!! FIX THIS CRAP!
B07KPGQBHP,Name The Movie Trivia,Movies & TV,Anthony Montanari,4.0 out of 5 stars,Good Fun,"Reviewed in the United States on July 31, 2021",The game is entertaining
B07KPGQBHP,Name The Movie Trivia,Movies & TV,Ernest,1.0 out of 5 stars,no variety,"Reviewed in the United States on January 23, 2020",Kept asking the same questions in every game
B071WLN59D,Frank Underwood quote,Movies & TV,Kindle Customer,4.0 out of 5 stars,Perfect for House of Cards Fans,"Reviewed in the United States on June 20, 2017","It's funny to hear Frank's Underwood's words, as if he was ""breaking the wall"" and talking directly at you. I wish Alexa would minic Kevin Spacey."
B07CVJLFBH,Doctor House,Movies & TV,Go-Go,5.0 out of 5 stars,OMG!,"Reviewed in the United States on February 15, 2020",I couldnt have asked fore a better Alexa skill!  Long Live House MD and with Alexa it will never die!
B07CVJLFBH,Doctor House,Movies & TV,Tina Rumsis,5.0 out of 5 stars,House,"Reviewed in the United States on February 19, 2022","my favorite show of all time, I can’t even believe Alexa has the skill! I’m so happy"
B07CVJLFBH,Doctor House,Movies & TV,tsouth,5.0 out of 5 stars,love it,"Reviewed in the United States on March 14, 2020",so far its fun! Never can get enough of House
B07CVJLFBH,Doctor House,Movies & TV,Jamie,5.0 out of 5 stars,YES,"Reviewed in the United States on May 21, 2019",YESSSSS
B071XLQCYJ,Harry Potter Facts,Movies & TV,Kerstin Imgart,3.0 out of 5 stars,No new info so far,"Reviewed in the United States on July 15, 2017",As a big fan of the Harry Potter series I haven't yet found a fact that I didn't already know. But it might be fun for more casual Harry Potter readers.
