skillid,skillname,category,reviewer,star,title,date,content
B07C56NMQK,War Eagle,Sports,John,4.0 out of 5 stars,Amusing,"Reviewed in the United States on August 31, 2018",Plays the fight song. Unfortunately Alexa seems to want to define what an eagle is almost as many times as she wants to start the app. Also while it's playing the screen is just grey with a tiny AU at the top. A little disappointing but war eagle anyway!
B07C56NMQK,War Eagle,Sports,Jessica Kilgore,1.0 out of 5 stars,Roll tide!,"Reviewed in the United States on October 19, 2020",It needs more cowbell...
B07C56NMQK,War Eagle,Sports,Tammy,5.0 out of 5 stars,War Eagle!,"Reviewed in the United States on January 11, 2019",Fun for an Auburn fan!
B07MP52KQD,Sing Bear Down!,Sports,moodz,1.0 out of 5 stars,The Seattle fan cannot Bear Down,"Reviewed in the United States on November 12, 2019","Alexa is admittedly a Seattle fan so I could understand a lack of enthusiasm for this skill but the skill is supposed to initiate by stating ""Alexa, Bear Down"" when the skill is enabled.  That phrase does not work.  Alexa says ""hmmm I don't know that one"" or gets confused and states 'it sounds like you are asking me about bear down"" and then starts to tell me about another team. Too bad. It is just good fun to have Alexa sing the fight song when your team scores against the team of all of your guests."
B07MP52KQD,Sing Bear Down!,Sports,Patrick Betts,5.0 out of 5 stars,She sings!!!!!!,"Reviewed in the United States on April 26, 2020",Alexia sings my bears team beardown Chicago bears.
B07MP52KQD,Sing Bear Down!,Sports,Travis,1.0 out of 5 stars,Only cool if you want to know the words,"Reviewed in the United States on August 5, 2019","It just reads the words to the song, I thought it was the actual song played at soldier field"
B07MP52KQD,Sing Bear Down!,Sports,K. Cradd,5.0 out of 5 stars,Bear Down with Alexa!,"Reviewed in the United States on December 30, 2018",Works great! Alexa sings the words right with you!
B07MP52KQD,Sing Bear Down!,Sports,Karen,1.0 out of 5 stars,Alexa doesn't sing,"Reviewed in the United States on December 31, 2019",All this does is say the words. If you want anyone to use this just play the song!
B07BVXSZL4,Archery Answers,Sports,go2garrett,4.0 out of 5 stars,Easy to launch and use,"Reviewed in the United States on May 13, 2019","I liked how easy it was to launch and play.  The information is good but I would like to be able to pick questions to ask and so far, I don't think that is a feature.  Also, I am not a beginner archer and would like to be able to ask specific  advanced questions such as ""Explain how to determine my proper arrow length"" or ""What types of mechanical releases are available?  Which mechanical release is best for competitive target shooting?"".  This is my very first free Alexa app to load.  Very fun!  Thanks"
B08D65M8HS,Why Not Sports,Sports,D. Murph,5.0 out of 5 stars,Top Notch Sports Podcast,"Reviewed in the United States on August 8, 2020",He’s a very consistent host who brings the hear after every show!! Keep up the outstanding work!!
B07CV31R4T,Test of Death,Sports,Amazon Customer,3.0 out of 5 stars,Its awesome mostly,"Reviewed in the United States on December 29, 2019",Don't pay attention to the negative reviews. Obviously the people who don't understand this haven't seen monty python and the holy grail. I love this skill but I wish there was a reset button so my friends could also play.
