skillid,skillname,category,reviewer,star,title,date,content
B07MZV85MW,UCSC Dining Halls,Food & Drink,Xander L.,5.0 out of 5 stars,so far so good!,"Reviewed in the United States on January 23, 2019",works great so far! now let's see if the dining halls actually put out what's on their menus... 🤔
B07MFGLVR3,"Handoff - Beer, Wine & Liquor Delivery",Food & Drink,Amazon Customer,5.0 out of 5 stars,Incredibly convenient for socially active multitaskers,"Reviewed in the United States on June 18, 2019","I love this application. Oftentimes, my social cirlce loves to gather and convene last minute over food and conversation. This doesn’t always leave much time for a trip to the liquor store, especially during rush hour. Handoff enables me to prepare myself and carry out my evening tasks before people show up without worrying if I’ll have an ample supply of spirits for my guests. With delivery guaranteed in under an hour, this is a perfect on-semand service for my on-demand lifestyle. I’ve ordered everything from the Handoff wine recommendation  to my favorite bottle of bourbon without any delivery confusion. I’ll continue to use Handoff’s excellent and convenient service."
B07MFGLVR3,"Handoff - Beer, Wine & Liquor Delivery",Food & Drink,Steve,5.0 out of 5 stars,Zero friction libations,"Reviewed in the United States on December 22, 2019","Easy to add the skill, efficient set up (Address, credit card) and intuitive interaction with Alexa to place my order via Handoff including tip. My order was delivered within 30 minutes with no transaction at the door other than showing ID. How awesome is this??!!"
B07M5NWRWQ,The Essence of Tea,Food & Drink,hookitty,5.0 out of 5 stars,All about tea,"Reviewed in the United States on December 22, 2018","This is an awesome way to learn about the ""essence of tea.""  Today's report spoke about some of the health benefits in green tea.  Jenny Tse is easy to listen to and provides a wealth of knowledge regarding teas and their various benefits.  The episode was just long enough to give me lots of valuable knowledge yet not so long or overly detailed that I couldn't listen and learn while I fixed lunch.  I love learning something new everyday. I look forward to tomorrow's episode.  Thanks Jenny!!!"
B07M5NWRWQ,The Essence of Tea,Food & Drink,Rachel Gardiner,4.0 out of 5 stars,"Enjoyable, but not timely","Reviewed in the United States on July 29, 2019","Today I heard a very enjoyable and informative report about Hot Tea Day and Hot Tea Month in January—but this is July! I hope the app gets more updates, because it is very good."
B07M9QNNF1,NYC Public School Lunch Lady,Food & Drink,Valentina,1.0 out of 5 stars,does not work,"Reviewed in the United States on August 23, 2019","never worked- keeps asking for ""my organization"""
B07L3PBMPR,Ninety Nine Bottles,Food & Drink,Chris Craft,5.0 out of 5 stars,"Famous song, lots of fun.","Reviewed in the United States on December 6, 2018",One of my favorite skills.
B07NDRZ8MJ,Hokie Dining,Food & Drink,Renee,5.0 out of 5 stars,10/10,"Reviewed in the United States on February 7, 2019",best skill ever
B07MDVZ3Y6,Restaurant Recommender,Food & Drink,Don Stewart,1.0 out of 5 stars,Restaurant Recommender did not work,"Reviewed in the United States on July 8, 2021","I gave Restaurant Recommender my location, and it cut out. I tried several times, and it never did get past the question of what location. Every time it cut out, and stated that it was having problems with the Restaurant Recommender skill.  .  I disabled the skill, and gave up.  Los Angeles is a big area, so it should not have had any problems with the location."
B07MDVZ3Y6,Restaurant Recommender,Food & Drink,Mike,5.0 out of 5 stars,Got relevant suggestions when I was looking up places to eat with my friends,"Reviewed in the United States on January 3, 2019","Wanted to eat pho in my city, recommended a pretty good place"
B07LGY6HSN,How Hot How Long,Food & Drink,Lala,5.0 out of 5 stars,Great skill!,"Reviewed in the United States on January 1, 2019",Now I don’t forget how long to bake things and for how long!
B07MV27TLN,make a drink,Food & Drink,MH,5.0 out of 5 stars,Easy to use,"Reviewed in the United States on January 17, 2019",Have some friends over and not sure what drink to make? Just ask Alexa. It is very simple to use.
B07D9Q9M1C,The Drink Of The Day,Food & Drink,diamond jim,1.0 out of 5 stars,does not work!,"Reviewed in the United States on May 1, 2020",for the last five days it gives the same drink
B07D9Q9M1C,The Drink Of The Day,Food & Drink,Caveat Emptor,5.0 out of 5 stars,Great App,"Reviewed in the United States on May 27, 2018",Fun way to find new cocktail recipes!
B01LZYUDZC,Scotch Whisky Quiz by Inside the Cask,Food & Drink,Amazon Customer,5.0 out of 5 stars,Good,"Reviewed in the United States on December 12, 2016",Seems accurate so far
B01LZTSV05,Facts On Beer,Food & Drink,E. Atkinson,1.0 out of 5 stars,Totally worthless,"Reviewed in the United States on November 1, 2016","Completely useless.  Seriously,  &quot;no you are mean&quot; and &quot;beer is as easy to make as oatmeal&quot; WTF!?"
B01LZTSV05,Facts On Beer,Food & Drink,Jay Coolidge,1.0 out of 5 stars,Wow.,"Reviewed in the United States on March 19, 2017",Nice meme. Not i wanted.
B01LZTSV05,Facts On Beer,Food & Drink,SergioGalvez,4.0 out of 5 stars,Works well,"Reviewed in the United States on October 11, 2016",Works well. Fun facts about beer.
B01LZTSV05,Facts On Beer,Food & Drink,Elle,1.0 out of 5 stars,👎,"Reviewed in the United States on October 9, 2016",Doesn't understand command!
B07GDKKMYT,Stōk Cold Brew,Food & Drink,Carter Jensen,5.0 out of 5 stars,🙌🔥❤️,"Reviewed in the United States on August 17, 2018","This skill rules. Hype me up, Alexa!"
B079TYM85T,Happy Hour,Food & Drink,isabellav,2.0 out of 5 stars,Confusing,"Reviewed in the United States on April 20, 2018","Alexa seemed to easily get tripped up and continue to repeat herself even after saying No - was very confusing and frustrating. Also, the integration with the bars didn't seem helpful, it just brought the same bars up over and over."
B079TYM85T,Happy Hour,Food & Drink,Jason A. Seiler,5.0 out of 5 stars,"Decent skill. Would have rated 4, but a ...","Reviewed in the United States on March 24, 2018","Decent skill. Would have rated 4, but a moron who doesn't understand that an Old Fashioned is made with any whiskey rated it a 2."
B079TYM85T,Happy Hour,Food & Drink,Pam T.,1.0 out of 5 stars,"ALEXA WON'T OPEN SKILL!! Alexa can't recognize my month, day and year of birth.","Reviewed in the United States on April 20, 2018","I have tried numerous times to enter this skill. Alexa keeps telling me she does not understand when I give her may month, day and year of birth.HELP!"
B079TYM85T,Happy Hour,Food & Drink,Ishtvan M.,5.0 out of 5 stars,Five Stars,"Reviewed in the United States on April 4, 2018",Fun and helpful function to have handy!
B079TYM85T,Happy Hour,Food & Drink,Wendy,1.0 out of 5 stars,Does NOT understand birth date,"Reviewed in the United States on April 2, 2018",She doesn’t understand my birth date!  Can’t get past that; cant even try it out!
B079TYM85T,Happy Hour,Food & Drink,Emma,2.0 out of 5 stars,I asked her for the recipe for an old fashioned ...,"Reviewed in the United States on March 23, 2018",I asked her for the recipe for an old fashioned. She said to use Johnny Walker Black. Johnny Walker is scotch. An Old Fashioned is made with Rye or Bourbon. FAIL.
B079TYM85T,Happy Hour,Food & Drink,Tania,1.0 out of 5 stars,Can't even get started,"Reviewed in the United States on March 27, 2018","I am trying to enable, Alexa asked my birthday, I tell her & she doesn't understand me!"
B074SZ88HH,WineWhich?,Food & Drink,Barry H.,2.0 out of 5 stars,So dumb,"Reviewed in the United States on September 27, 2017",Not useful
B07BFQQ851,Huntsville On Tap,Food & Drink,Kyle,5.0 out of 5 stars,Great!,"Reviewed in the United States on March 16, 2018",Fantastic!
B07BFQQ851,Huntsville On Tap,Food & Drink,Cherokee,5.0 out of 5 stars,Awesome!,"Reviewed in the United States on March 18, 2018",Great info!
B08G4GB7G4,Wild Turkey Tasting,Food & Drink,Jason Fields,5.0 out of 5 stars,"I don't usually drink Wild Turkey in the summer, but when I do i want a tasting","Reviewed in the United States on September 9, 2020",Super cool concept and a conversation starter with friends.  Wish more brands had this. Our friends zoom meeting is using this every week. hopefully we don't run out of whiskey!
B08G4GB7G4,Wild Turkey Tasting,Food & Drink,bc44,5.0 out of 5 stars,the best whiskey tasting app out there!,"Reviewed in the United States on September 9, 2020",I used this the other night to do an at-home tasting of one of Wild Turkey's bourbons - so fun and easy to use!
B08G4GB7G4,Wild Turkey Tasting,Food & Drink,Nick,5.0 out of 5 stars,Great whiskey guide,"Reviewed in the United States on September 9, 2020",Nice way to learn about whiskey.  Guided tasting tour.
B08G4GB7G4,Wild Turkey Tasting,Food & Drink,Amazon Customer,5.0 out of 5 stars,Good to Go.  Cheers!,"Reviewed in the United States on February 3, 2021","Wow!  Wild Turkey not just in my backyard, but in my liquor cabinet too.  How cool."
B08G4GB7G4,Wild Turkey Tasting,Food & Drink,Christine Lawrence,5.0 out of 5 stars,Sweet!,"Reviewed in the United States on June 22, 2021","Very useful, helpful and fun for our bourbon experience!"
B08G4GB7G4,Wild Turkey Tasting,Food & Drink,Rashi Miller,5.0 out of 5 stars,So fun to use,"Reviewed in the United States on September 9, 2020",A great resource if you're looking to learn more about whiskey.
B079DG5CH5,Tea Cup,Food & Drink,Joan Purcell,5.0 out of 5 stars,Great app,"Reviewed in the United States on January 31, 2018",Nice suggestions
B07Q73L6YN,Wine Enthusiast,Food & Drink,GR,4.0 out of 5 stars,The best pairing skill I've found yet,"Reviewed in the United States on April 2, 2019",Out of all the wine pairing skills I've tried the Wine Enthusiast skill always gives me an awesome wine pairing every time. And I've discovered new wines from using the skill. The recipes are good too.
B07Q73L6YN,Wine Enthusiast,Food & Drink,Ms. Julie M. Bucknam,2.0 out of 5 stars,doesnt inderstand,"Reviewed in the United States on November 18, 2019",alexa can’t pair with what I’m asking.  I’m asking for a pasta dish and she thinks it’s pizza.  This app probably works best with short well known items.  You can’t list ingredients and get a good pairing
B07Q73L6YN,Wine Enthusiast,Food & Drink,Peter M. Rudnicky,1.0 out of 5 stars,Horribly Ineffective!,"Reviewed in the United States on November 23, 2019","Wow, I was so excited to see this new skill from Wine Enthusiast! It doesn't work...tried so many foods, including my Thanksgiving meal, and nothing worked, except turkey. As a retired VP of Marketing AND a loyal subscriber of Wine Enthusiast, disable this skill until it it ready...it damages your brand."
B07Q73L6YN,Wine Enthusiast,Food & Drink,Kindle Customer,3.0 out of 5 stars,Half right Start with food first not the wine,"Reviewed in the United States on February 22, 2020",I belong to a wine club where we select the wine first then the pairing. This app only works when you start with food and ask for the wine. It's backwards for me and only half effective.
