skillid,skillname,category,reviewer,star,title,date,content
B07C53XY9P,RoosterMoney,Kids,Michelle MacDowell,4.0 out of 5 stars,Needs work but so much potential,"Reviewed in the United States on June 14, 2020","I’m being a little generous here with the stars because I think this app has amazing potential. As of now, the only thing they can do effectively is tell my children how much money they have spent and earned.A big reason we got the app is so that Alexa could give them a verbal rundown of the chores they have scheduled for that day.i’m optimistic and hopeful that the app developers will be able to add or improve that feature.note: it’s possible that this is purely an operator error issue on our end. ￼￼"
B07C53XY9P,RoosterMoney,Kids,Chris Blattman,2.0 out of 5 stars,"doesnt work on sonos devices, chores function useless","Reviewed in the United States on November 22, 2020",app is great but alexa integration poor. only works on echo devicces it seems. the chores function is not very useful without some sort of push capability.
B07C53XY9P,RoosterMoney,Kids,Rebekah Gregg,2.0 out of 5 stars,Needs to be able to recor chores completed,"Reviewed in the United States on August 2, 2018",Would make it much more useful.
B07C53XY9P,RoosterMoney,Kids,Jeremiah and Michele Summers,2.0 out of 5 stars,Key features not working,"Reviewed in the United States on October 1, 2020","It says my kids chores are always done when they are not, only good info it gives is their balance. A real bummer it cant have basic functionality and is broke."
B07C53XY9P,RoosterMoney,Kids,Wade & Fabiola,1.0 out of 5 stars,Can't complete chorse via the app,"Reviewed in the United States on May 7, 2021",The only function I wanted and it was not available :(
B07C53XY9P,RoosterMoney,Kids,KattyB,2.0 out of 5 stars,Potentia,"Reviewed in the United States on July 18, 2018",Has potential to be very good...not there yet.
B07FL87R6R,Car Color Game,Kids,RGM,5.0 out of 5 stars,Great game for the kids while we drive!,"Reviewed in the United States on July 14, 2018",This skill let’s the kids play a fun game of counting how many colored cars go by in one minute! I highly recommend this skill if you can have Alexa in your car! It’s meant for when Alexa is in the car!
B07FL87R6R,Car Color Game,Kids,Amazon Customer,2.0 out of 5 stars,Why cant we not see video on this game? Help,"Reviewed in the United States on July 24, 2018",No video?
B07NDN4GBC,Times Tables Challenge,Kids,@lex,5.0 out of 5 stars,Excellent to learn,"Reviewed in the United States on March 5, 2019","Children learn while they play, it's fun and practical."
B07MCHLNZV,Dolphin Sounds,Kids,Maureen Cronin Smith,4.0 out of 5 stars,Great,"Reviewed in the United States on March 9, 2020",I liked it but wanted different sounds
B076VWKNS6,Princess Sayings,Kids,Devendra,1.0 out of 5 stars,boring!,"Reviewed in the United States on May 18, 2020",it is super boring its helples😴
B076VWKNS6,Princess Sayings,Kids,Maria Simpson,3.0 out of 5 stars,could be better,"Reviewed in the United States on December 28, 2018","This is OK, Alexa reads out a quote from a random princess. It would be a lot better if the princesses said their own quotes or you could even choose a princess yourself."
B07PZ84FZC,Rezar Ave María,Kids,Selene,5.0 out of 5 stars,ave maria,"Reviewed in the United States on March 28, 2020",genial para que los niños aprendan a rezar
B07V1VNSGZ,Megustaescuchar Cuentos,Kids,Oco,5.0 out of 5 stars,Muy buen cuenta cuentos,"Reviewed in the United States on February 7, 2020",2 al día gratis!
B07V1VNSGZ,Megustaescuchar Cuentos,Kids,Jorge  Vasquez,3.0 out of 5 stars,No lo he podido usar,"Reviewed in the United States on March 22, 2020",Me pide permisos de un adulto en el Amazon Echo Dot
B07V1VNSGZ,Megustaescuchar Cuentos,Kids,Frank Mora Bogantes,3.0 out of 5 stars,Es muy buena pero.....,"Reviewed in the United States on April 20, 2021","La cantidad de cuentos es limitada, en menos de 15 días escuchamos todos y luego los repite, deberían agregar más cuentos."
B07V1VNSGZ,Megustaescuchar Cuentos,Kids,Cliente de Amazon,4.0 out of 5 stars,Muy original,"Reviewed in the United States on June 6, 2020",Cada cuento es una historia completamente nueva para mi y a mi chavito le encantan!!
B07V1VNSGZ,Megustaescuchar Cuentos,Kids,Wendy Marquinez,3.0 out of 5 stars,aveves funciona y aveves no! es bueno pero tienen que arreglarlo.,"Reviewed in the United States on June 23, 2020",aveves funciona y aveves no! es bueno pero tienen que arreglarlo.
B07V1VNSGZ,Megustaescuchar Cuentos,Kids,Estuardo Morales,3.0 out of 5 stars,bueno pero,"Reviewed in the United States on April 8, 2020",Logra escuchar los cuentos pero no me permite pararlo en cualquier momento pareciera un error de la skill
B07V1VNSGZ,Megustaescuchar Cuentos,Kids,Erick Diaz,1.0 out of 5 stars,No mw funcionó,"Reviewed in the United States on June 17, 2020",me sugiere vamos a jugar
B07V1VNSGZ,Megustaescuchar Cuentos,Kids,Patricia,5.0 out of 5 stars,me gusta los cuentos,"Reviewed in the United States on July 28, 2020",Los cuentos que escucho me hacen volar
B078S3Q3W9,Daily Words,Kids,CACsmartread,5.0 out of 5 stars,Builds vocabulary,"Reviewed in the United States on July 15, 2019",I had been trying to get Alexa to tell me a new word  and finally found this feature that enables the command. It's awesome!
B07JGB7M5K,My Kids Are Animals!,Kids,Daniel,1.0 out of 5 stars,pointless,"Reviewed in the United States on April 10, 2020","you have to enable the skill every time you want to play a different animal noise, so if i want to play sounds for my son in a tow ive got to keep listening to the infuriating prompts. no thanks"
B07JGB7M5K,My Kids Are Animals!,Kids,ZackE10,1.0 out of 5 stars,pointless,"Reviewed in the United States on April 19, 2020",adds a step to hear animal sounds. you have to open everytime.
B07JGB7M5K,My Kids Are Animals!,Kids,Paul,1.0 out of 5 stars,Get ready to repeat yourself,"Reviewed in the United States on July 28, 2020","Terrible is all that can be said. I had to repeat my answer every single time. Any time that an answer is wrong, responding as I don't knot just generates a ""I don't understand that response"" message."
B07JGB7M5K,My Kids Are Animals!,Kids,V.Baez,3.0 out of 5 stars,Frustrating,"Reviewed in the United States on May 29, 2020","Alexa doesn't know what a cow sounds like.... also it keeps closing and i have to ask to open ""My kids are animals"" every time a wanna ask what an animal sounds like.... kind of annoying really."
B07JGB7M5K,My Kids Are Animals!,Kids,Amazon Customer,1.0 out of 5 stars,useless,"Reviewed in the United States on April 3, 2020",ask for sounds and says she doesnt know
