skillid,skillname,category,reviewer,star,title,date,content
B01N01I1I4,Gift Genie,Shopping,Tanna B. Bowen,1.0 out of 5 stars,Terrible recognition,"Reviewed in the United States on March 25, 2017","I asked for a gift idea for my husband, and it suggested a princess dress"
B01N01I1I4,Gift Genie,Shopping,Thomas Jadallah,5.0 out of 5 stars,Works Great!,"Reviewed in the United States on February 10, 2017",Gave me ideas on what to buy!
B06Y3S28P6,Ingredients Guru,Shopping,DIY 1,2.0 out of 5 stars,Has trouble finding basic items,"Reviewed in the United States on May 27, 2017",Ask for crunchy peanut butter and you get some peanut butter cereal. Ask for milk and you get a chocolate milk beverage ingredient list. It found Welch's fruit snacks but this app needs a lot of work and better and more specific recognition.
B07J43J36F,Slick Dealer,Shopping,R. Stump,2.0 out of 5 stars,"Great idea, but FAIL!","Reviewed in the United States on October 10, 2018","I cannot get this application to do anything except tell me it's ""about"" information.  Please fix this, I need this in my life!"
B072KFPTNN,GlobalGiving,Shopping,Amazon Customer,5.0 out of 5 stars,Great start - love the GG app on Alexa!,"Reviewed in the United States on August 12, 2017","Love having this info available on Alexa. Would be great to donate directly to a project via Alexa, but a great start in that direction."
B07NNTY3T7,This Week's New Comic Books,Shopping,Lee H.,5.0 out of 5 stars,Nice reminder for comic fans,"Reviewed in the United States on February 18, 2019",Provides a nice reminder to go to your local comic book shop by making a pick of the week and running down the top new releases from major publishers like DC and Marvel.
B07NNTY3T7,This Week's New Comic Books,Shopping,Jason Ruby,5.0 out of 5 stars,yes,"Reviewed in the United States on February 26, 2019",love it. thank you!
B076294GFK,Best Buy,Shopping,J.C. Murray,1.0 out of 5 stars,just wasted 20 minutes of my life,"Reviewed in the United States on December 18, 2019","I just wasted 20 minutes of my life enabling the  Best Buy app through Amazon Alexa, to buy a ""Voice only Deal"" through Best Buy. Was trying to buy a smart outlet, only to find out Alexa was ""having difficulty""... kind of hard to get a ""voice only"" deal, when your ""voice only"" app, sucks... And you can't get the deal... don't waste your time with the Best Buy skill on Alexa."
B076294GFK,Best Buy,Shopping,LARRY,1.0 out of 5 stars,garbage,"Reviewed in the United States on December 18, 2019","Enabled skill, linked account and tried to purchase a voice deal via Alexa. Did not work."
B076294GFK,Best Buy,Shopping,ugagirl5,1.0 out of 5 stars,TERRIBLE app experience,"Reviewed in the United States on December 20, 2019","I followed the instructions that I had to google since it’s not at all intuitive in the Alexa app and eventually linked my account, then placed 5 orders for the 4.99 smart plug voice only deal. Yep. I had to place 5 separate orders since the app only lets you order one at a time. But the orders went throug, so I got over it. Until I received 4 emails 10 minutes later saying that my information cannot be verified, so they cancelled my order.  The email I get tells me no information on how to fix the verification issue that apparently was an issue on 4 of the 5 orders I placed. But they could verify me for one of my orders?  Then when I tried to chat with Best Buy customer service, their chat was down. Seriously?  This was a terrible user experience on both the Amazon side and the Best Buy side. You both can and should be better than this. I won’t be using this app again."
B076294GFK,Best Buy,Shopping,prem kumar,1.0 out of 5 stars,Trouble processing your order,"Reviewed in the United States on December 18, 2019",Alexa says thr was a trouble processing your order. I don't understand why they create these skills when they don't work
B076294GFK,Best Buy,Shopping,ADAM J WITZ,1.0 out of 5 stars,doesnt work properly,"Reviewed in the United States on December 18, 2019","will tell me the deals, but then tells me I dont have a shipping address on my account @best buy.com, which I do, so app is worthless. tries half a dozen times."
