skillid,skillname,category,reviewer,star,title,date,content
B07CR8G7DV,counting coach,Utilities,Eweforia,5.0 out of 5 stars,Counts slowly out loud--perfect for exercises,"Reviewed in the United States on July 25, 2019","Update: Thank you developers for returning the slow  counting speed back to its previous slow speed. This app is the ONLY one available that simply counts out loud. Not a stopclock, not a metronome, not a child' learn numbers tool. I'm back to happily giving this app a 5-star review.Previous: I've been happily using this app for over a year to count reps for some exercises I do and up until today, I would have given it a 5 star review. I liked that I could ask the count to be VERY SLOW. Today, that slow speed has dramatically increased, preventing me from being able to complete a weight lift in time before the next number is counted. Developer, please revert to the timing speed you used prior to today."
B01EKKF81Q,Nanny State,Utilities,She Who is Unnamed,4.0 out of 5 stars,"please confirm with a parental ""UNIT""","Reviewed in the United States on September 24, 2016","it's basic . .. and asks:""is your room tidy?""  if you answer Yes, it next asks:""have you practiced your instrument?""  if you answer Yes, it next asks:""is your homework done?""  if you answer Yes, it next asks:""are your chores done?""  if you answer Yes, it next asks:""do you have screen time (TV) privileges?""  if you answer Yes, it says""congratulation you have screentime, please confirm with a parental unit.""if you answer No, it says ""No Screens for you"" ...I about fell on the floor laughing when it said please confirm with a parental ""UNIT"".I hate to brag but I, yes me, She Who is Unnamed, I, invented the phrase parental unit, I started saying that well OVER 35 plus years ago. That's why I am laughing. And why I added an extra 🌟. But a 3 star rating is because, as follows:if adjusting the questions were available this would be better, considering every student doesn't play an instrument, and since a majority of schools have eliminated their music programs, and every child who might want to play an instrument doesn't always have access to instruments to practice, but they might have something else that the ability to change or adjust ""practice"" here would apply, or be able to insert options for special projects in addition to homework...  also, customizing options, to be able to adjust by person... Not all children are the same, even in the same family.  But this is an awesome starting for an app of this type. wish this was availaible when my kids were little - 25 plus years too late - one last side note would be to add features for grandma's, for when the little ones visit."
B01EKKF81Q,Nanny State,Utilities,Kathleen,1.0 out of 5 stars,There's just no substitute for real parenting,"Reviewed in the United States on September 24, 2016","Dev clearly does not have children. What's stopping the kid from saying yes to all questions just to get screen time? Better yet, what's stopping the kid from just turning on the TV? Alexa? I don't think so. Who's going to do quality control? &quot;Did you do your HW?&quot; &quot;Yes&quot; &quot;Did you answer all questions? Let me see/check.&quot; Oh wait, you can't. Technology can make your life easier but in this case it just can't replace a real parent."
B07ZF769T5,Simple addition,Utilities,Flavien CADET,5.0 out of 5 stars,This is The Perfection,"Reviewed in the United States on October 22, 2019","The most useful app of the world, this make my smartphone useless, now I use only My amazon Echo dot with My portable Battery, thank to the dev for this beautiful app 👍"
B07TC64XHZ,Quick Japanese,Utilities,Xonic,1.0 out of 5 stars,horrible!,"Reviewed in the United States on July 12, 2019",BAD!
B07RL2ZNTP,Translation Please,Utilities,Dave,5.0 out of 5 stars,this would be a lifesaver,"Reviewed in the United States on December 26, 2021","this would save my life is it was only in Vietnamese.  my wife's family is Vietnamese, I'm from Detroit.. my in-laws only stay Vietnamese.  I've never had a first conversation with them.  I've tried to learn but i cant hear the difference i in a lot of their sounds if i can't hear three difference from de and te and other sounds i cant say them or now what was said.please add Vietnamese to this please please please.. I'll pay for the option if you need funding cottant me. seriously i cant instant then at all, send i live with them because they are old and my wife takes care of them.."
B07RL2ZNTP,Translation Please,Utilities,Amazon Customer,4.0 out of 5 stars,Does what it says!,"Reviewed in the United States on March 30, 2020","Got great results with spanish. It doesn't have every language, so it doesn't deserve bad reviews for not having everything. For what it has I'm impressed. This will be a good help in my learning spanish."
B07RL2ZNTP,Translation Please,Utilities,Brittany,5.0 out of 5 stars,Pardon my French,"Reviewed in the United States on May 8, 2019",Great skill helps me listen to French so I can learn the language better and more naturally
B07RL2ZNTP,Translation Please,Utilities,Geraldo da Conceicao.,5.0 out of 5 stars,Wish it had. Brazilian Portuguese,"Reviewed in the United States on September 1, 2020",You know only Brazil has over 220 million citizens. It deserves a little attention. not counting Portugal - India - China - Africa etc.etc
B07RL2ZNTP,Translation Please,Utilities,Christi,3.0 out of 5 stars,wish it had Portuguese,"Reviewed in the United States on January 10, 2020",For my new daughter in law
B07RL2ZNTP,Translation Please,Utilities,Ramiro,4.0 out of 5 stars,ok app,"Reviewed in the United States on October 3, 2019",The app works well as long as Alexa understands what you say.
B07X482SMG,My Lingo - English to Spanish Translator,Utilities,Photo Lover,3.0 out of 5 stars,Mas despacio por favor,"Reviewed in the United States on September 23, 2019","i really was hoping there would be an option for the alexa to spell or say the Spanish words more slowly. if I am asking MyLingo about a word, it is because I dont know it. Then, MyLingo says the word very quickly at the speed Alexa does. So theres really no reason to have this skill...I get it that Spanish is a fast language, but that is what makes it hard. when I hear Alexa quickly say “planifacador” at the speed of light or whatever I have no clue what she even said or how to spell it - did she just say “plafor” or “plador” or “planificdor?” Spelling in Spanish is easy, but you have to know the word you’re spelling. it would be better to use the english spanish dictionary at this rate, exasperatingly. so please, make there an option for a slow or even spelled out version. this would make it great. thank you!! 😆"
B07X482SMG,My Lingo - English to Spanish Translator,Utilities,Ritu Kaushik,5.0 out of 5 stars,Great Skill!,"Reviewed in the United States on October 8, 2020",Very useful for all my translation needs
B073WVL6DL,Love You Languages,Utilities,levesque,1.0 out of 5 stars,your wrong in french,"Reviewed in the United States on October 29, 2017",it said J T aimerand it is je t'aime  maybe in a different language you wood of fool me but i am french
B07BB4CJJD,TripTalk,Utilities,Makana-Ren,4.0 out of 5 stars,Booking flight!,"Reviewed in the United States on May 13, 2018","....at least not yet, but how nice to have this to practice. Thank you"
B0787M1125,hey yinz,Utilities,AltoonaShawn,1.0 out of 5 stars,Pittsburgher,"Reviewed in the United States on December 16, 2017",This app is a Jag off
B0787M1125,hey yinz,Utilities,BMD,5.0 out of 5 stars,Entertaining,"Reviewed in the United States on December 16, 2017","This app doesn't have a ton of utility, however it is really entertaining for those who know about the Western PA dialect."
B0787M1125,hey yinz,Utilities,Toby Fee,5.0 out of 5 stars,Clever and entertaining,"Reviewed in the United States on December 14, 2019",Easy to install and set up
B0787M1125,hey yinz,Utilities,Norm H.,1.0 out of 5 stars,This app is not from Picksburgh!,"Reviewed in the United States on February 27, 2018",Needs a lot more work!
B0787M1125,hey yinz,Utilities,alison r.,1.0 out of 5 stars,awful,"Reviewed in the United States on December 20, 2019",doesnt have another to translate. on easy words.
B0787M1125,hey yinz,Utilities,Tasha ,1.0 out of 5 stars,This sucks,"Reviewed in the United States on September 11, 2020",Did not work
B0787M1125,hey yinz,Utilities,chris hester,3.0 out of 5 stars,Irhn city,"Reviewed in the United States on December 22, 2017",This app always has to know stuff.. Pretty  nebby if you ask me.
B072XGTRR8,Translate This,Utilities,Diedra Holley,1.0 out of 5 stars,Waste,"Reviewed in the United States on July 9, 2017",There are three phrases in French.  Really?  Seems like a skill someone played at bt never finished.
B072XGTRR8,Translate This,Utilities,Amazon Customer,1.0 out of 5 stars,Super weak,"Reviewed in the United States on February 14, 2018","Only 3 languages and 4 words. Pronounces ""hola"" as ""hello-ah"""
B072XGTRR8,Translate This,Utilities,David D.,1.0 out of 5 stars,Translate worst ever,"Reviewed in the United States on July 8, 2017","3 words in Spanish... That's it...Congratulations app maker, you've disabled yourself."
B072XGTRR8,Translate This,Utilities,Amazon Customer,1.0 out of 5 stars,Useless. If there was a way to rate this app less than one star I would. It's limited to three phrases and the pronunciation is,"Reviewed in the United States on October 9, 2017",FIFA 06 cover When was the Monster You were here Avril Lavigne if there was a way to rate this app less than one star I would if there was a way to rate this app less than one star I would. Absolutely useless capability is 3 phrases in the pronunciation is completely horrible
B072XGTRR8,Translate This,Utilities,Felicia C.,1.0 out of 5 stars,Limited Vocabulary,"Reviewed in the United States on July 19, 2018","She can only translate3 phases? Hello, goodbye and How are You?  I already know them"
B072XGTRR8,Translate This,Utilities,Biocin,4.0 out of 5 stars,OUCH....POOR ALEXA.....NOT HER FAULT....,"Reviewed in the United States on November 21, 2019","My last review here was for a different program.THIS APP SHOULD EMBARRASS AMAZON!!! You need to answer the same three questions....*Would you like to play? (y or n), what language (lists 4 ), which phrase would you like to translate? 1) Hello, 2) how are you, or 3) Goodbye” when translating! hello is ‘oh la’ in an extreme ENGLISH style,  no accent at all. It sounds like me in my first week on Duolingo.com!! aThe second, “Como es tar” sounded exactly like I wrote it. The third word, sounds like, “Ah dee ooos” please get rid of this 😂skill🤣! it is no good for anything."
B072XGTRR8,Translate This,Utilities,Mark D. Mercer,1.0 out of 5 stars,An unbelievable waste of time,"Reviewed in the United States on July 2, 2017","The Spanish translation only has three phrases available: ""hello"" ""goodbye"" & ""how are you?""  Not a true translator app. So, what's the point?????"
B072XGTRR8,Translate This,Utilities,AmazonAddict,1.0 out of 5 stars,Zero Stars,"Reviewed in the United States on July 11, 2019",Three words? Seriously? Does anyone screen these apps before they're released?
B072XGTRR8,Translate This,Utilities,Amazon Customer,1.0 out of 5 stars,Zero stars if i could.,"Reviewed in the United States on January 11, 2020",Just three phrases? This app is useless.
B072XGTRR8,Translate This,Utilities,Amazon Customer,1.0 out of 5 stars,Idk,"Reviewed in the United States on March 4, 2022",It sucked! Only three phases
B072XGTRR8,Translate This,Utilities,Amazon Customer,1.0 out of 5 stars,bad.,"Reviewed in the United States on July 26, 2019",too baad.😡
B072XGTRR8,Translate This,Utilities,Daniel Gallagher,1.0 out of 5 stars,totałly useless,"Reviewed in the United States on October 21, 2021",only 3 phrases...totally useless
B072XGTRR8,Translate This,Utilities,kaw700zn,1.0 out of 5 stars,Knows 3 words!?,"Reviewed in the United States on December 23, 2018",This is a joke. It literally knows 3 words.
B072XGTRR8,Translate This,Utilities,Ajo,1.0 out of 5 stars,not good,"Reviewed in the United States on August 5, 2019",cluncky
B072XGTRR8,Translate This,Utilities,Maddie,1.0 out of 5 stars,Useless,"Reviewed in the United States on July 12, 2017","This translation app has 3 short sentences for 3 languages. Totally useless. Save yourself the time and enable ""Translated"" instead."
B072XGTRR8,Translate This,Utilities,Macrobe,1.0 out of 5 stars,Add English (Australia)!!,"Reviewed in the United States on December 31, 2019","Add Australia so we can use this app, please!"
B072XGTRR8,Translate This,Utilities,Mar,4.0 out of 5 stars,Great app.,"Reviewed in the United States on September 23, 2017",This was a fun app.
